card_name,board_name
Kanshe Infotech,Board 2
Connect Tech Talent,Board 2
Proofpoint,Board 2
Staffingine LLC,Board 2
Gainwell Technologies (6),Board 2
Emerson (5),Board 2
"Alltech Consulting Services, Inc.",Board 2
AVI-SPL (8),Board 2
Perplexity,Board 2
Cohere,Board 2
Upwork,Board 2
Mistral AI,Board 2
3Cloud (4),Board 2
enVista (3),Board 2
Korn Ferry,Board 2
Enexus Global,Board 2
Netrix Global,Board 2
Computer Merchant,Board 2
Aventior,Board 2
Feedzai,Board 2
Navtech,Board 2
Tential,Board 2
Arthrex Inc,Board 2
Sunera Technologies,Board 2
TransUnion,Board 2
Zencore,Board 2
Convene,Board 2
BrainTree Technology Solutions,Board 2
Thortech Solutions,Board 2
STS Worldwide,Board 2
Brooksource,Board 2
Event Mobi,Board 2
fingerprint,Board 2
P3 Media,Board 2
OnTheGoSystems,Board 2
Lemon.io,Board 2
ScrumBytes,Board 2
Maxar Technologies,Board 2
LaTeam Partners,Board 2
Cube Hub,Board 2
S&S Lab Management,Board 2
TeamEx,Board 2
Ryz Labs,Board 2
DevSavant,Board 2
PruTech,Board 2
IV.AI,Board 2
Mirai RiskTech,Board 2
TekRecruiter,Board 2
DEUNA (Final Client),Board 2
Picktrace,Board 2
CODE Éxitos,Board 2
Tachyus,Board 2
Arroyo Consulting,Board 2
Venon Solutions,Board 2
Darwoft,Board 2
Arkham Technologies,Board 2
Talent Systems LLC,Board 2
Clevertap,Board 2
Tek Ninjas,Board 2
Level Access,Board 2
RESULTICKS,Board 2
Main Sail,Board 2
Smart IMS Inc.,Board 2
Zallpy Digital,Board 2
DXC Technologies,Board 2
Insulet (End Client),Board 2
Fusion Consulting,Board 2
"NTT Data (in ATS, last job 2017)",Board 2
C&S Informatica (Argentinian company),Board 2
Real Advancement,Board 2
ServiceNow,Board 2
Spaulding Ridge,Board 2
InfiCare Technologies,Board 2
Advantra Consulting,Board 2
TalentBurst,Board 2
Concentrix Catalyst,Board 2
Ascension Health,Board 2
AptoNet,Board 2
Celer Soft,Board 2
a2C IT Consulting,Board 2
ITECS,Board 2
Nutanix,Board 2
Computech Corporation,Board 2
Avenue Code,Board 2
Echo Base Global,Board 2
Mindco,Board 2
InfoSyp,Board 2
Saturn Cloud,Board 2
Simetrik,Board 2
"ActioNet, Inc.",Board 2
Onebridge,Board 2
Svitla Systems,Board 2
Turnitin,Board 2
Wizeline,Board 2
Xometry,Board 2
Outliant,Board 2
Moksh Tech,Board 2
Skysys,Board 2
Crossvale,Board 2
Vera Solutions,Board 2
DoyenSys,Board 2
NeuraFlash (was on Salesbox list),Board 2
LotusFlare,Board 2
Sonatafy (Was on Salesbox List),Board 2
McFadyen Digital,Board 2
Northware,Board 2
Access Global Group,Board 2
IZEI Consulting Group,Board 2
DAS Health,Board 2
XTIVIA,Board 2
nClouds,Board 2
Complete Staffing Solutions,Board 2
Intetics (5),Board 2
Inspiredge (5),Board 2
InRhythm (5),Board 2
Geniusee (5),Board 2
Euna Solutions (5),Board 2
EdgeConneX (5),Board 2
Devcare Solutions (5),Board 2
Codup (5),Board 2
Zortech Solutions,Board 2
Conduent (6),Board 2
CoForge (7),Board 2
Qualitest (5),Board 2
Greymatter Innovationz,Board 2
Mako Professionals,Board 2
Eurofins (5),Board 2
Stefanini Brasil (5),Board 2
Tecla T (5),Board 2
Imagemaker (5),Board 2
Extend IT (5),Board 2
GFT Technologies (6),Board 2
Revna (5),Board 2
PlatformX (5),Board 2
Exomindset (5),Board 2
AceStack (4),Board 2
Resource Informatics Group,Board 2
Elite Technology,Board 2
ReadBeard Solutions,Board 2
Barrel,Board 2
Orga AI,Board 2
HYR Global,Board 2
Gigamon,Board 2
Datum IT,Board 2
Campspot,Board 2
Blue Coding,Board 2
Freelance LATAM,Board 2
Orange Digital CX,Board 2
Genzeon,Board 2
New Era Technology,Board 2
mailerlite,Board 2
Code Signal,Board 2
CloudDevs,Board 2
Atlas technica,Board 2
"Applied OLAP, Inc.",Board 2
Cafeto Software,Board 2
Konrad,Board 2
4Thought Marketing,Board 2
Nybble Group,Board 2
Arcivate,Board 2
Basware,Board 2
Hakkoda,Board 2
ProContacto,Board 2
ília,Board 2
Agreeya Solutions,Board 2
Proxify,Board 2
Cirrius Solutions,Board 2
Insight Global,Board 2
Vantage Data Centers,Board 2
SolarWinds,Board 2
"Solvd, Inc.",Board 2
Judge Group,Board 2
AgileEngine,Board 2
Advancio,Board 2
DemandBlue,Board 2
Eccox (it's a Brazilian Company),Board 2
Cadastra,Board 2
Platform Builders,Board 2
Gentrop,Board 2
JFOX IT Partners,Board 2
LEOO,Board 2
Devel Group,Board 2
Very Good Ventures,Board 2
Blue Orange,Board 2
ACL,Board 2
Enroute (Monterrey company),Board 2
IdeaHelix,Board 2
iLink Digital,Board 2
Nearsure,Board 2
Accenture (7),Board 2
DXC Technology (7),Board 2
Tanisha Systems,Board 2
Data Capital,Board 2
Astreya (5),Board 2
Comrise,Board 2
Cynet Systems (4),Board 2
Quid Solutions (3),Board 2
Mitchell Martín (6),Board 2
Paired,Board 2
Excel Nearshore (5),Board 2
Impelsys,Board 2
BMC Software (6),Board 2
Ninecon Consultores (4),Board 2
Charles Taylor (6),Board 2
innolevels (5),Board 2
Vetta (5),Board 2
Morgan Stanley (5),Board 2
EPAM Systems (6),Board 2
Perficient (5),Board 2
Motivus (5),Board 2
EcommIT (3),Board 2
Lateral Group (5),Board 2
IT Convergence,Board 2
EBS-IT (4),Board 2
HR Link Group (1),Board 2
Randstad (3),Board 2
Pulsati (4),Board 2
Confiz (5),Board 2
Hyland Software (7),Board 2
OZ (5),Board 2
Azkait (5),Board 2
Buchanan Technologies (4),Board 2
Girikon,Board 2
Kani Solutions,Board 2
Apton Inc,Board 2
Talent Digger,Board 2
Maitsys,Board 2
Northern Base,Board 2
Engineering Square,Board 2
Strata Clean Energy,Board 2
Cloud Space LLC,Board 2
Centric Software,Board 2
"RealPage, Inc.",Board 2
BOSC Tech Labs Private Limited,Board 2
MasterBrand,Board 2
GEA,Board 2
Miratech,Board 2
Jade Global,Board 2
GlobalPros,Board 2
Payara,Board 2
SVK Technology,Board 2
GAC Solutions,Board 2
